DMU,CCR_Score,BCC_Score,Scale_Efficiency
DMU 1,1.0,1.0,1.0
DMU 2,0.9581766702547874,0.9635011718216309,0.9944737985561795
DMU 3,0.7856705074838064,0.7960197123870646,0.9869988082679215
DMU 4,0.9245616566295739,1.0,0.9245616566295739
DMU 5,0.5406705925453708,0.5735514690772181,0.9426714457121885
DMU 6,1.0,1.0,1.0
DMU 7,1.0,1.0,1.0
DMU 8,1.0,1.0,1.0
DMU 9,1.0,1.0,1.0
DMU 10,0.7575679194576654,0.7609727235705596,0.9955257212151857
DMU 11,0.7179538507189914,0.734498899332611,0.9774743724889813
DMU 12,0.7508371602118187,0.858254765911882,0.8748418185759402
DMU 13,0.7332208013640237,0.7711921703345005,0.9507627664917722
DMU 14,0.7586374697564068,1.0,0.7586374697564068
DMU 15,1.0,1.0,1.0
